	Atf3	Egr2	Fos	Hes1	Hic1	Irf1	Klf4	Myc	Pax5	Zfp219
0610009o20rik	0	0	0.5	0	0	0	0	0	0	0
1190007i07rik	0	0.5	0.5	0	0	0	0	0	0	0
1300002k09rik	0	0	0.5	0	0	0.5	0.5	0	0	0
1500012f01rik	0	0	0.5	0	0	0.5	0.5	0	0	0
1500015a07rik	0	0	0.5	0	0	0	0	0	0	0
1600012h06rik	-0.5	0	0	0	0	-0.5	-0.5	0	-0.5	0
1600014c10rik	0	0	0	0	0	0.5	0	0	0	0
1600029i14rik	-0.5	0	-0.5	0	0	0	0	0	0	-0.5
1700001l05rik	-0.5	-0.5	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5
1700008o03rik	-0.5	-0.5	0	0	0	-0.5	0	0	0	0
1700021k19rik	0	0.5	0	0	0	0.5	0	0	0	0
1700030j22rik	0	0	0	0	0	-0.5	-0.5	-0.5	0	0
1700034j05rik	0	0	0	0	0	-0.5	0	0	-0.5	0
1700086o06rik	0	0	0.5	0	0	0	0	0	0	0
1700094d03rik	-0.5	0	-0.5	0	0	-0.5	-0.5	-0.5	0	-0.5
1810013l24rik	-0.5	0	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0
1810043g02rik	0	0	0.5	0	0	0.5	0.5	0	0	0
2010111i01rik	-0.5	-0.5	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0
2010300c02rik	0	0.5	0	0	0	0.5	0	0	0	0
2200002d01rik	-0.5	-0.5	0	0	0	0	-0.5	0	0	0
2310011j03rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0
2310033p09rik	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5
2410004b18rik	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0
2410004p03rik	0	0	0	0	0	0	0.5	0	0	0
2410006h16rik	0	0.5	0.5	0	0	0	0	0	0	0
2410015m20rik	0	0	0	0	0	0	0.5	0	0	0
2610203c22rik	0	0	0	0	0	-0.5	0	0	-0.5	0
2610318n02rik	0	0.5	0	0	0	0.5	0.5	0	0	0
2700049a03rik	0	0	0.5	0	0	0.5	0	0	0	0
2700060e02rik	0	0	0.5	0	0	0.5	0.5	0	0	0
2810417h13rik	0	0.5	0	0	0	0	0	0	0	0
2900005j15rik	0	0	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5
3010026o09rik	0	0.5	0	0	0	0.5	0.5	0	0	0
